बैका. गारवी.	బెకా. గారవీ.
मैं हफतों से रातभर नहीं सोया हूँ.	చాలా వారాలుగా నేను పూరతిగా ఒక రాతరి కూడా నిదరపోలేదు.
मुसीबत आ गई.	ఇదిగో సమసయ వసతోంది.
हाँ, बेशक. वह गडबड कर देगी.	అలాగే, తపపకుండా. తను మొతతం చెతత చేసేసతుంది.
ए! कया हो रहा है? उसे छोडो!	హేయ! హేయ! ఏం జరుగుతోంది? ఆమె మీద చేయి తీయి!
-हाँ, हमें समझ आ गया. -हम सभी समझ गए.	-అవును, మాకు తెలుసతోంది. -ఓహ. అవును, మా అందరికీ తెలుసతోంది.
हम जलदी चल सकते हैं?	మనం ఈ వయాయామానని వేగంగా చేయలేమా?
कया हुआ?	ఏంటి?
कया हुआ?	ఏంటి?
कया हुआ?	ఏంటి?
पीरियडस और जिन से बात नहीं बनेगी.	పీరియడలు ఇంకా జిన గురించి మాటలాడుకుంటే పరయోజనం ఉండదు.
-कृपया, डैडी. कृपया? -तुम उसे रख सकती हो.	-దయచేసి ఒపపుకో, నానన, దయచేసి ఒపపుకుంటావా? -నువవు దానని ఉంచుకోవచచు.
मेरा मतलब, हम. . .	నా ఉదదేశం, అంత దగగర కాదు. . .
तुम वह बार-बार कयों खा रहे हो? तुम ठीक हो?	దానిని తరచు ఏదో ఉదయోగంలా ఎందుకు తీసుకుంటుననావు? నువవు బాగానే ఉననావా?
मजे करो.	సరదాగా గడుపు.
देखा, कई दावे किए गए. कई संयोग हुए.	చూడండి, చాలా కలెయిములు ఉననాయి. చాలా సూచనలు కనిపిసతుననాయి.
वैन जैसी. रिवरस होती वैन जैसी.	వయాన మాదిరిగా. అంటే. . . వయాన రివరస చేసతుననటలుగా.
मैंने पूरी योजना बना ली है और हम बयाज दर तय करेंगे.	నేను దీని మీద కషుణణంగా లెకకలు కటటాను, మనం వడడీ రేట గురించి కూడా ఒక ఒపపందానికి వచచాం.
-मैं राजी हूँ. हाँ. -यह शानदार है.	-నేను పెటటుబడి పెడుతుననాను. అవును. -ఇది చాలా మంచి విషయం.
बस पूछ डाला. विजञापन की महिला की तरह.	నేను ఇపపుడే చెపపేశాను. నీకు తెలుసా, ఆ యాడ లో అమమాయి మాదిరిగా.
धत.	చెతత.
धत!	చెతత!
धत!	చెతత!
कमीना.	చెతత వెధవ.
कया मतलब?	నీ ఉదదేశం ఏంటి?
कमीना.	చెతత వెధవ.
ठीक है, ठीक है.	సరే, సరే.
धत.	చెతత.
करो जो करना है.	నువవు ఏం చేయాలో అది చేయి.
तुम सोचते हो कि मैं झूठी हूँ, पर ऐसा नहीं है.	నేను ఏమెనా ఆడ నకకలా అబదధాలు ఆడేదానిని అనుకుననావేమో, కానీ అలాంటి దానని కాదు.
मैं पढूँगी. यह बस बहनों की बातचीत है.	నేను దృషటి పెడతాను. మేము ఊరికే అకకచెలలెళల మాటలు మాటలాడుకుంటాం.
जो दरअसल अपने परशिकषण शुलक के जरिए उस थेरेपिसट के	వాళల టరెనింగ ఫీజులతో పరధానంగా
दरअसल यह अचछा विचार है, गरेस.	నిజానికి అది అంత తీసిపారేయాలసిన ఆలోచన కాదు, గరేస.
उसने सही कहा.	తను సరిగగానే చెపపింది.
जयादातर अचछी हैं.	అంటే, అవి పరధానంగా బాగుననాయి.
अब, आखिरी राउंड में, हमें शानदार गैबरिएल को	ఇపపుడు, ఆఖరి రౌండ లో, మనం
ए, ए, ए.	హేయ, హేయ, హేయ.
मुझे बहुत जोर की लगी है.	రషయన రేస గురరం మాదిరిగా నేను మూతరం పోయాలి.
हर बार जब कोई बीमा कंपनी	బీమా కంపెనీ చెలలించడానికి ఇషటపడని పరతీసారీ
फोर!	జాగరతత!
ठीक है.	సరే.
ठीक है.	సరే.
भगवान. पता है, तुम काफी चिडचिडे हो गए हो?	అయయో, బాబు. ఈ వయవహారంలో నువవు మామూలుగా ఉండటమే మానేశావు, అది నీకు తెలుసా?
हाँ. आओ, हैरी.	అవును. ఇంటలోకి రా, హయారీ.
चलो. तुम अगुवाई करो.	చూడు. ఈమె విషయంలో నువవే కథ నడిపించు.
तुम मेरी माँ, या बहन, या दोसत नहीं बन रही हो.	నువవు మా అమమ లాగా లేవు, నా అకక లాగా లేవు, లేదా నా సనేహితురాలి మాదిరిగా కూడా లేవు.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
घर से निकलो.	ముందు తలుపు దగగరకి రా.
गरमा-गरम. माफ करना.	అవెన నుండి తాజాగా తెచచాను, మననించు.
वापस दो!	అది నాకు ఇచచేయ!
वाह, मैट.	భలే చేశావు, మయాట.
वह अचछा था.	అతను మంచిగా ఉండేవాడు.
धनयवाद, सर!	ధనయవాదాలు, మంచిది సర!
इवा और बिबी.	ఈవా ఇంకా బీబీకి తెలుసు.
हाँ. तो, मैं चलता हूँ.	సరే, మంచిది. ఏం చేయాలో మీరే నిరణయించుకోండి.
नहीं, पर उनके पास. . .	పెదదగా లేదు, కానీ వాళలు చేయనిది ఏంటంటే. . .
हाँ. उसके बजाय मैं बस चाटूँगा.	అవును. దాని బదులు ఒక బససునెనా నాకుతానేమో కానీ అతనితో ఉండను.
दिमाग फट रहा है?	రకతపోటా?
कैसी?	ఏంటి ఎలాగ?
ए!	హేయ!
हाँ. मुझे. . .	అవును, సరే. నేను వెళలాలి. . .
हारने का इनाम.	ఓడిపోయిన వాడికి ఇదిగో నజరానా.
तुम मदद नहीं कर रही हो.	అది అనవసరం.
देखो. देखो.	చూడు.
अलविदा कहना पडा.	అందగాడెన గాబరియేల కి గుడ బె చెపపాలి.
तो चलो. बताओ. कया नया है, हँ?	సరే, మరి కానివవు. అదేంటో నాకు చెపపు. ఏంటి విశేషాలు? గుసగుసలు ఏంటి?
अलविदा.	బె.
वह बेहद सुंदर है.	అతను చూపు తిపపుకోలేనంత ఆకరషణీయంగా ఉననాడు.
हाँ, शायद.	అవును, ఆడుతుంది అనుకుంటా.
हे भगवान.	దేవుడా, దేవుడా, దేవుడా.
वह कमीना.	ఆ చెతతవెధవకి తెలిసింది.
जरूर.	ఓహ, ఫరవాలేదు.
यह पागलपन है.	నా ఉదదేశం, అతనికి బుదధిమాందయం ఉంది.
चलो.	లోపలికి రా.
कौन से पब में?	ఏ పబ?
मजा आ रहा था?	చూసతూ వికృత ఆనందం పొందాలని చూసతుననాడా?
ह. . .	నేను. . . నేను. . .
