पलीज. पलीज.	పలీజ. పలీజ.
आतमाओं, सब इकटठे हो जाओ!	ఆతమలరా, అందరూ రండి!
वाकई? कौन सा परॉजेकट है?	నిజంగా? ఏ పరాజెకటు?
मैंने कोई झूठा. . .	నేను ఎవరినీ అపకీరతి. . .
-मुझे पता नहीं. -ठीक है.	-నాకు తెలీదు. -సరే.
इस अवसाद से उबरने के लिए तुमहें ठीक इसकी ही जरूरत है.	తిరిగి నీ ఉతసాహానని పొందుకోవడానికి నీకు అలాంటి వాడెతేనే సరిపోతుంది.
उस मिल से अभी भी अचछा मुनाफा आ सकता है, सर.	ఆ మిలలుపె లాభం బాగానే వసతుంది, సర.
-थोडी शराफत बाकी है -शराफत बाकी है	-లోపల కొంచెం మంచి ఉంటుంది -అకకడకకడా ఉంటుంది
जिस तरह तुमने "सवरगवासी" पर जोर दिया. मुझे तुम पर गरव है.	"చనిపోయిన" విషయానని భలే ఒతతి మాటలాడావు. సూపర.
हाँ. जरूर. हाँ.	సరే. అలాగే. మంచిది.
आपको शरम आनी चाहिए, सर. एक बचचे से ऐसी बातें बोल रहे हैं.	సిగగుండాలి, సర. పిలలాడితో అలా మాటలాడుతుననారు.
तुम रिटायर होना कयों चाहते हो?	నీకు రిటెర అవవాలని ఎందుకు అనిపించింది?
तुमहें यकीन है?	కచచితంగా అంటుననావా?
अब, कृपया, अब अगर तुम मुझे बस पूरा कर लेने दो. बैठो.	ఇక దయచేసి నా పాటని పూరతి చేయనివవు. కూరచో.
-जेकब, मैं बस कोशिश कर रहा था. . . -योजना के अनुसार!	-జేకబ, నేను కేవలం. . . -సకరిపట లో ఉండాలి!
-मुझे उसकी सारी फिलमें पसंद हैं. -मुझे उसकी "चॉकलेट" बहुत अचछी लगी.	-ఆమె నటించిన సినిమాలు అననిటిలో నాకు చాలా ఇషటం. -ఆమె చాకలెట సినిమాలో నాకు భలే నచచింది.
ओये! रासते से हटो, बेवकूफ.	ఓయ! రోడడు మీద నుండి వెళళు, వెధవా.
-तुमहें कोको चाहिए? -जरूर.	-నీకు చాకలెట మిలక కావాలా? -అవును.
ठीक है. बहुत हो गया. वापस सो जाओ.	సరే. ఇక చాలు. వెళలి పడుకో.
खैर, उसे सिर पर लगाते हैं.	అంటే, దానిని నీ తలకు పెటటుకోవాలి.
नैतिकता की एक लडाई नैतिकता की एक लडाई	నెతికత కోసం చేసే పోరాటం నెతికత కోసం చేసే పోరాటం
समय आ गया है कि मैं कुछ चीजों की वयवसथा कर लूँ.	నేను కొనని ఏరపాటలు చేయాలసిన సమయమెంది.
वे पता लगाने जा रहे हैं कि जिस वयकति को हमारे भूत सता रहे थे,	మనం పీడించిన వయకతి నిజంగా మారిందో లేదో చూడటానికి
ओह, किमबरली, तुमहें कोई अंदाजा नहीं है तुमने अभी कया कर दिया.	ఓహ, కిమబెరలి, నువవు ఏం చేసావో నీకు అససలు తెలీదు.
और तुम. अब से, मुझे सब कुछ योजना के हिसाब से चाहिए. समझ गए?	అలాగే నీ విషయానికి వదదాం. ఇక నుండి ఏది చేయాలననా సకరిపట లో ఉండాలి. అరథమెందా?
मुझे और ऐसी चीजें दिखाना चाहते हो जिनके बारे में मैं सही हूँ? यह फिर से मजेदार हो गया है.	నేను సరిగగా చెపపిన మరికొనని విషయాలు నాకు చెపతావా? ఇది భలే సరదాగా ఉంది.
उसके लिए चार सौ लोग काम करते हैं.	వీడి కింద నాలుగు వందల మంది పని చేసతుననారు.
जो शायद आपकी पूरी संसथा को दिवालिया कर देगी,	అంత డబబు చెలలించుకునేసరికి, మీ సంసథ దివాళా తీయొచచు కూడా,
देखा? सपना है.	చూసావా? కల.
वह कहाँ है?	అది ఎకకడ ఉంది?
-दो. -आठ. आखिरी पेशकश.	-రెండు. -ఎనిమిది. చివరి ఆఫర.
यह तुमहारा है.	ఇది నీ గతం.
-कया? -हाँ.	-ఏంటి? -అవును.
पाजामा बोरे से बना है.	ఈ పెజామాలు బురలాప తో చేశారు.
मैं इसकी आँखों में देखती हूँ	ఈయన కళళలోకి చూసతుననాను
कि मैं उतना ही कमीना हूँ जिसका मुझे डर है?	ఒకపపటిలా వెధవని అయితే ఏంటి సంగతి?
तुमने यह देखा?	ఇది చూసావా?
तुम ठीक हो?	బాగానే ఉననావా?
सर, कया हम थोडी जलदी जा सकते हैं? शुकरिया.	సర, కొంచెం వేగంగా వెళతారా? థాంకస.
लिफट गलियारे के अंत में हैं और यह आपके कमरे की चाबी है.	లిఫట లు హాల లో నేరుగా వెళితే ఉంటాయి, అలాగే మీ గదికి కీ కారడు ఇదుగోండి.
बढिया, आप नशे में हैं. खैर, कहीं ना कहीं तो सुबह के आठ बजे होंगे.	మంచిది, అపపుడే తాగేసి వచచావు. అది కూడా తెలలవారగానే.
लेकिन कया वह ऐसा कुछ है जिस पर हमें गरव होना चाहिए?	కానీ అది మనం నిజంగా గరవపడాలసిన విషయమేనా?
-हाँ. -और आप अभी भी यहाँ हैं.	-అవును. -కానీ మీరు ఇంకా ఇకకడే ఉననారు.
वह बरदाशत के बाहर हो जाता है.	నువవు నీ మనసులోని వెలితిని భరించలేవు.
मेरे साथ रहना, कलिंट. समृति में रहना.	నాతో ఉండు, కలింట. ఇకకడే ఉండు.
सच में? उतनी ठंड नहीं लग रही.	అవునా? నాకు అంత చలలగా అనిపించడం లేదు.
अगर हम उसे बदल पाए, तो उसके परभाव की कलपना करो.	మనం వాడిని మారచితే, అది ఎంతమందిపె పరభావం చూపుతుందో ఊహించుకో.
अरे. तुम वापस आ गए. और एक बेहद कसे हुए सूट में.	హేయ. నువవు తిరిగి వచచావు. అది కూడా బాగా బిగుతుగా ఉనన సూట లో.
देखो, मुझे एक और मीटिंग के लिए जाना है और मुझे देर हो गई है.	చూడు, నేను వెళలడం ఆలసయం అయిన ఇంకొక మీటింగ ఉంది.
हैशटैगकरिसमसटरीयुदध. और रेन को याद दिलाना. . .	#కరిసమస. చెటలయుదధం అలాగే రెన కి. . .
वह कया बोल रहा है?	వాడు ఏం మాటలాడుతుననాడు?
और थोडा सा काफी है	కొంచెం మంచి చేసినా చాలు
और हम बस. . . हम बस बात करने लगे और यह. . .	తరవాత మేము. . . మేము మాటలాడుకోవడం పరారంభించాం, అలా. . .
लेकिन, मेरा मतलब, अगर मैंने वह फैसला नहीं लिया होता, तो मैं यहाँ तुमहारे साथ नहीं होता.	కానీ, అంటే, ఆ పని చేసి ఉండకపోతే, నీతో ఇకకడ ఇలా ఉండగలిగే వాడిని కాదు.
आज रात तुमहें कोई नींद नहीं आएगी	ఇవాళ రాతరి నీకు నిదర రాదు
मैं वाकई इतना सवारथी हूँ.	నేను నిజంగానే చాలా సవారధపరుడిని.
मुझे सालों लग गए लेकिन आखिरकार मैं नौकरी छोडती हूँ	ఇది చెపపడానికి నాకు ఎననో ఏళళు పటటాయి, కానీ నేను పని మానేసతుననాను
कलिंट की कंपनी दुनिया भर में अपने गराहकों के फायदे के लिए	కలింట యొకక కంపెనీ పరపంచం వయాపతంగా ఉనన తమ కలయింటల లాభం కోసం జనానికి తపపుడు
हम असल में ऐसे ही हैं. और पता है, मैं वह सवीकार करता हूँ.	వాళళ నిజ సవరూపం అందులో తెలుసతుంది. ఒకటి చెపపనా, అది నేను అంగీకరిసతుననాను.
वह झनझनाहट जब जिंगल बेल बजती हैं	మా హృదయాలలో ఆ సంతోష గుడిగంటలు మోగుతుననాయి
-मतलब, तुमने मुझसे पूछा था मैंने तुमहें कयों चुना. -मैं जानता हूँ तुमने कयों चुना.	-అంటే, నేను నినను ఎందుకు ఎంచుకుననానా అని అడిగావు. -అవును, నిజమే.
"हाथ में सवरग" नाम की एक जगह है.	నిజానికి "మతిపోతోంది" అనే హోటల ఒకటి ఉంది.
-कया यह तैयार हो गया? -हाँ, अभी तैयार नहीं हुआ है.	-అంతా సిదధమా? -లేదు, ఇంకా సిదధం కాలేదు.
बस एक बार कह दो और जलद ही तुम मुसकुरा रहे होगे	ఒకకసారి అలా అని చూడు వెంటనే నీ మొహం చిరునవవుతో నిండిపోతుంది
जेकब, मैं बता रहा हूँ. मैं जानता हूँ इसका दिमाग किस तरह काम करता है.	జేకబ, చెపతుననాను కదా. వాడిని ఎలా మారచాలో నాకు తెలుసు.
कया मैं वह इंसान बन सकता हूँ जो जिंदगी भर की गलतियों को पीछे छोड दे?	నా జీవితంలో చేసిన తపపులకు పరాయశచితతం చేసుకోగలుగుతానా?
मेरे इतनी बार गृहसवामी संघ से शिकायत करने या पुलिस को बुलाने	మీ మీద ఇంటి యజమానులు సంఘానికి, పోలీసులకు అననిసారలు ఫిరయాదు చేసినా, మీకు వచచిన
उसकी चिंता मत कीजिए. कुछ ही मिनटों में वह अपने बिसतर में जाग जाएगी.	ఆమె గురించి మీరేమీ కంగారు పడకండి. ఇంకొనని నిమిషాలలో ఆమె తన మంచం మీద నిదర మేలుకొంటుంది.
और यह मैं हूँ. मिसटर बरैड पिट. नहीं. नहीं, मैं मजाक कर रहा हूँ.	ఇది నేను. మిసటర బరాడ పిట. కాదు. ఉతతినే, జోక చేశా.
यह बंदा. . . और यह बहुत बुरा है. . .	వీడు. . . చాలా చెడడవాడే. . .
तुमहें उन परंपराओं के लिए लडना होगा जो हमारे दिलों के करीब हैं.	మనం ఎంతగానో గౌరవించే సంపరదాయాల కోసం మనం పోరాడాలి.
मैं उसे पसंद नहीं करता हूँ.	నాకు ఆమెపె ఇషటం లేదు.
अब होगी	ఇపపుడు ఇక
वह करने का सही तरीका है कि तुम. . .	ఈ పనిని చేయడానికి ఉనన మేలెన మారగం ఏంటంటే. . .
चलो भी, कलिंट.	అలా అనొదదు, కలింట.
कया? हे भगवान.	ఏంటి? ఓరి, దేవుడా.
-जरा 261 को रोको. -कया हम मिले हैं?	-ఒకసారి 261ని ఆపండి. -మనం ఇంతకుముందు కలిశామా?
ठीक है. थोडा सबर करो.	సరే, మరి. కాసత ఓపిక పటటండి.
यह आ गया.	తీసుకో.
ना सुधर पाने वाला?	విమోచన లేకుండా
गजब. मैं इतना भारी कयों हूँ?	వావ. నేను ఎందుకు ఇంత బరువుగా ఉననాను?
कया यह ठीक है?	నీ చెయ పటటుకోవచచా?
शायद इसलिए कयोंकि अगले हफते मैं काम पर वापस चला जाऊँगा	ఎందుకంటే నేను వచచే వారం మళళీ ఆఫీసుకు వెళలి
उसे एक ही रात में होना चाहिए	ఒకక రాతరిలో మాతరమే జరగాలి అనుకుననావు
-हे -हे	-హేయ -హేయ
हम अभी ही भाई बने थे.	మేము ఇపపుడే సోదరులం అయయాము.
-रुको. -नहीं. रोशनी में जाओ.	-ఆగండి. -లేదు. వెలుగులోకి పరవేశించు.
तुम हमेशा से मुझे शांत सवभाव की और कम आकरामक लगी हो.	నేను నినను ఎపపుడూ ఇలా నేరుగా ఒక దానికోసం అడిగే రకం మనిషిగా చూడలేదు.
अगर चुनाव में खडे हो रहे हो, तो तुमहारे अतीत पर उँगलियाँ उठेंगी ही.	ఏదెనా పదవికి పోటీ పడాలంటే, గతానని తవవడంలో తపపు లేదు.
-सबसे अचछी जिंदगी जीने में मदद करने का. -सबसे अचछी जिंदगी?	-వారికి గొపప జీవితానని ఇచచాను. -గొపప జీవితమా?
मतलब, मेरे मरने तक घरों में नलसाजी भी नहीं हुई थी, तो मैं. . .	అంటే, నేను భూమిపెన ఇళలలోకి నీరు వచచే వెసులుబాటు రాకుండానే మరణించాగా, కాబటటి. . .
वरतमान? तुम मेरे अतीत में कया कर रहे हो?	పరజెంట? మరి నా గతంలో నీకేం పని?
पता है, हमें एक सेकंड के लिए इजाजत देना.	ఒకటి చెపపనా, మేము ఇపపుడే వసతాం.
ठीक है फिर. चलो तीखा सटयू खाएँ!	సరే, మరి. ఇక వెళలి మంచి చీలి కూర తిందాం!
शायद चालू करने का कोई सविच नहीं	బహుశా దీనికి ఎలాంటి తకషణ పరిషకారం లేదేమో
अरे, तुम कहाँ जा रहे हो?	హేయ, నువవు ఎకకడికి పోతుననావురా?
तुमहारा भाई बहुत अचछा इंसान है.	నీ తమముడు చాలా మంచివాడు.
तुम बोलते नहीं हो, तुम बस चीजों की तरफ इशारा करते हो?	నువవు మాటలాడవు, కానీ వేలు పెటటి చూపుతావా?
मैंने कहा था किमबरली सबसे अचछी है.	ఈ పనిలో కిమబెరలికి తిరుగు లేదని చెపపాను కదా.
मैं नहीं करूँ तो?	నాకు పటటుకోవాలని లేదు.
अरे, गजब! कया तुमहारे सिर से वह खडखडाहट हुई?	అయయో! నీ తల దేనికెనా గుదదుకుననావా?
अरे! अब इसका वह मतलब नहीं है! अरे!	హేయ! హేయ ఈ కాలంలో దానికి అరథం అది కాదు! ఆగు!
किमबरली! मैं दखल देने के लिए माफी चाहता हूँ,	కిమబెరలి! మధయలో ఆపినందుకు కషమించు,
तुम कया करने वाले हो? कया तुम पागल हो गए हो?	నువవు ఏం చేయబోతుననావు? నీకు పిచచా?
देखो, उन सब लोगों का कया जिनहोंने कलिकबेट पर विशवास किया?	చూడు, ఆ వారతను నమమిన వారందరి సంగతి ఏంటి మరి?
-हमेशा ना सुधरने वाला रहूँगा -ना सुधरने वाला	-విమోచన లేకుండా మిగిలిపోతానా -విమోచన లేకుండా మిగిలిపోతానా
सैंटा के आने के समय तुमहें बिसतर में होना चाहिए.	శాంటా వచచేసరికి నువవు పడుకుని ఉండాలి.
-वाकई? तुमहें वाकई ऐसा लगता है? -हाँ.	-నిజంగా? నువవు నిజంగా అలా అనుకుంటుననావా? -అవును.
-रोबरटो! -उसका दिन थोडा अजीब बीत रहा है, ठीक है?	-రోబరటో! -తనకు చినన సమసయ ఉంది, సరేనా?
शुकरिया, गैरी. काम हो गया. तुमने एकदम सही समय पर सपॉटलाइट दी.	థాంకస, గయారీ. ఇక చాలు. భలే సమయానికి లెట వేశావు.
तो, मैंने तुमहें बताया था?	చూసావా, చెపపాను కదా?
और वह वापस नहीं आएगा किसी फैकटरी में बने नकली पेड से	దానిని నకిలీ చెటలతో తీసుకొనిరావడం కుదరదు
और मैं फरिशते का पुतला ऊपर लगाने जाऊँगा,	చెటటు పెన ఆ దేవదూత బొమమని పెటటడానికి నేను వెళతుండగా,
एक बार. बहुत जरा सा. और तुम जानते हो कि वह अलग था.	ఒకకసారి. అది కూడా సవలపంగా. అపపటి కేసు ఇలాంటిది కాదని నీకు తెలుసు.
किमबरली पारकस कारयकारी उपाधयकष	కిమబెరలి పారకస ఎగజికయూటివ వెస పరెసిడెంట
यह पागलपन है.	అది అబదదం.
हाँ, है. लेकिन मैंने फैसला ले लिया और अब मुझे उसके साथ रहना होगा.	అవును. కానీ ఆ నిరణయం నాదే, కాబటటి నేను ఏం చేయలేను.
उसके कोई मायने नहीं थे, मेरे सिर की कसम.	ఆ పని ఎలాంటి దురుదదేశంతో చేయలేదు. ఒటటేసి చెపతుననాను.
तुमहारा है	నిజానికి నీది
मैं करूँगा. वादा करता हूँ.	ఒటటు. మాట ఇసతుననాను.
सवा चार. अचछा है. शुकर है.	4: 15. మంచిది. చాలు.
नहीं? ठीक है.	లేదా? సరే.
पता है, जब वे मेरा भविषय दिखा रहे थे, वहाँ एक बीमार बचचा था.	నాకు నా భవిషయతతుని చూపించినపపుడు, అందులో అనారోగయంతో ఉనన ఒక కురరాడు కనిపించాడు.
सीधे सिर की चोट में.	నీ తలకు దెబబ తగిలింది కదా.
सारी भलाई जो मैंने सोची मैंने कमाई थी अंत में उसके कोई मायने नहीं रहे	చివరికి నేను సంపాదించుకుననది అంతా మటటిలో కలిసిపోయింది
एक करिसमस की सुबह के एहसास से आगे बढने के लिए तैयार हूँ?	గడపడం కంటే గొపప కారయాలు చేసే సమయం అయిందేమో?
और उसका मतलब है चीड की खुशबू एक असली पेड से	దానరథం నిజమెన చెటటుకు ఉండే ఆ అందమెన సువాసనను ఇవవబోతుననాం
तुम यह वीडियो पोसट कर देना, अपना सवीकृति भाषण लिखना शुरू कर देना और काम आसानी से हो जाएगा.	నువవు ఆ వీడియోని పోసట చేసి, ఎననికలలో గెలిచేయవచచు, చిటికెలో జరిగే పని.
-अरे, महानुभाव. . . -हे भगवान.	-ఒరేయ, హీరో. . . -అబబా.
-मुझे वह सुनाई दिया. -मुझे भी.	-ఒపపుకుంటా. -నేను కూడా.
मैं हमेशा सोचता था यह कैसा लगता होगा और मैं निराश नहीं हुआ.	ఈ ఫీలింగ ఎలా ఉంటుందా అని ఎపపటి నుండో నా సందేహం, అచచం నేను ఊహించుకుననటటే ఉంది.
जिनमें से 81 परतिशत नकली थे, पलासटिक के पेड थे.	వాటిలో 81 శాతం నకిలీ, పలాసటిక చెటలే.
यह बस. . . आज मेरा दिन बहुत वयसत है.	విషయం ఏంటంటే. . . నేను ఇవాళ చాలా బిజీగా ఉననాను.
कया हम सीपीएम 163 को दोबारा चला सकते हैं, पलीज?	మళళీ సిపిఎం-163ని పలే చేసతారా, పలీజ?
यह छोटी सी फडफडाहट दिख रही है उसके एकसपोजर में?	చూసావా, ఇకకడ చినన అలజడి కనిపిసతుందా?
तुम यह वीडियो पोसट कर देना, अपना सवीकृति भाषण लिखना शुरू कर देना	నువవు ఆ వీడియోని పోసట చేసి, ఎననికలలో గెలిచేయవచచు,
मतलब, यहाँ कया मैं ऐसा ही इंसान हूँ? वह बंदा जो सारा गरम पानी इसतेमाल कर लेता है?	అంటే, నేను అలాంటి వాడినా? వేడి నీళలు అననీ నేనే వాడేసే మనిషినా?
आज करिसमस है.	ఇవాళ కరిసమస రోజు.
करिसमस टरी उतपादकों के राषटरीय संघ का सवागत करता है	జాతీయ కరిసమస చెటల పెంపకందారుల అసోసియేషన
कलिंट बरिगस ना सुधरने लायक	కలింట బరిగస విమోచింపసాధయం కానివాడు
तो, यह जॉश हाबिंस, वह पढाई में कैसा है?	ఇంతకీ ఈ జాష హబబినస అనేవాడికి మారకులు ఎలా వసతుంటాయి.
खैर, मैं हमेशा से लोगों को पहचानने में अचछा रहा हूँ.	అంటే, నేను ఎవరినెనా చూసి వారు ఎలాంటివారో చెపపడం బాగా తెలిసిన వాడిని.
दुनिया में कुछ भी माँग लो.	నీకు పరపంచంలో ఏం కావాలననా తెసతాను.
बस सकरूज जैसा	మరొక సకరూజ కాగలడు
मैं तुम लोगों के लिए अपनी पूरी जिंदगी नहीं बदलूँगा,	మీ కోసం నేను చేసే పనులు చేయకుండా మానను,
लेकिन इसने मेरा हाथ पकड रखा है और यह छोडने वाला नहीं है	కానీ నా చేయి పటటుకుననాడు దానిని వదలడం లేదు
अगर हम कभी पानी में नहीं उतरेंगे हम कभी नहीं जान पाएँगे	ఒక అడుగు వేయకపోతే మనం ఎపపటికీ తెలుసుకోలేము
मुझे जरा इजाजत दोगे? मैं देखकर आता हूँ यह सब कया हो रहा है.	నాకు ఒక కషణం ఇసతావా? ఆ శబదం ఏంటో చూసి వసతాను.
खैर, तुमहारे पास बेहतर उतपाद है.	కానీ, మీ ఉతపతతి వారి ఉతపతతికంటే నాణయమెంది.
मैं देख सकता हूँ. . .	నేను ఇలాంటి. . .
-इसीलिए मैंने वह कहा. -थोडी तीवरता कम करो.	-అందుకే అననాను. -కొంచెమ తగగించు.
हम वापस ला रहे हैं शिषटता हम वापस ला रहे हैं करिसमस	మనం నాణయతను తిరిగి తీసుకొసతుననాం మనం కరిసమస ని తిరిగి తీసుకొసతుననాం
तो, उसे मिनियापोलिस में उसके बचपन में ले जा रही थी.	నేను వాడిని మిననియాపొలిస లోని తన బాలయానని చూపించడానికి తీసుకెళళాను.
कलिंट, मुझे तुमहें कितनी बार बताना पडेगा? यह मेरे बारे में नहीं है.	కలింట, నీకు ఎననిసారలు చెపపాలి? ఇది నా గురించి కాదు.
शुकरिया. तुमहें बिलकुल अंदाजा नहीं है तुमने कितना अचछा काम किया है.	థాంకస. నువవు ఎంత గొపప పని చేసావో నీకు అససలు తెలీదు.
हम में वह करिसमस की सुबह वाली भावना भरी हुई है	మాలో నిరంతరం ఉతసాహం ఊరుతూనే ఉంటుంది
हम इस दुनिया में दुनिया भर का बदलाव ला रहे हैं	మేము పరపంచానికి ఎంతో మంచి చేసతుననాం
हम इस दुनिया में दुनिया भर का बदलाव ला रहे हैं	మేము పరపంచానికి ఎంతో మంచి చేసతుననాం
आखिरकार हम असली जॉश को जान गए नकली!	చివరికి నిజమెన జాష ఎలాంటోడో తెలిసింది వేషధారి!
-मारली! -मैंने तुमहें बताया था, मैं नहीं बदला.	-మారలె! -చెపపాను కదా, నేను మారలేదు.
हम में वह करिसमस की सुबह वाली भावना भरी हुई है	మాలో నిరంతరం ఉతసాహం ఊరుతూనే ఉంటుంది
हम इस दुनिया में दुनिया भर का बदलाव ला रहे हैं	మేము పరపంచానికి ఎంతో మంచి చేసతుననాం
वह ठीक है. वह 80 के दशक के अपने बचपन के बेडरूम में है.	వాడు బాగానే ఉననాడు. వాడు ఇపపుడు 1980లోని తన చినననాటి బెడ రూమ లో ఉననాడు.
वे गा कयों रहे हैं?	వాళళు ఎందుకు పాడుతుననారు?
और काम आसानी से हो जाएगा.	చిటికెలో జరిగే పని.
लेकिन हम अभी बस. . . हम नाच-गा रहे थे.	కానీ మేము ఇపపుడే కదా. . . పాడుతూ డానస కూడా వేసాము.
तो, चिंता मत करो, यार.	కాబటటి నువవేం భయపడకు, బంగారం.
नहीं, यह बिलकुल साफ है	లేదు, నాకు సపషటంగా తెలుసతుంది
सब कुछ दाँव पर लगाने की बजाय.	పంపేసి ఉంటే బాగుండేది.
उप-शीरषक अनुवादक: मीनू	సబ టెటిలస అనువదించింది: జోసెఫ
आप वह दोबारा नहीं खाना चाहते हैं?	దానిని మళళీ తినాలని లేదా?
यह कोई सपना नहीं है, मिसटर बरिगस.	ఇది కల కాదు, మిసటర బరిగస.
-सीपीएम 163 चालू करो. हाँ. अभी. -सीपीएम 163, नहीं.	-ఇపపుడు సిపిఎం-163 పలే చెయ. అవును. ఇపపుడే. -సిపిఎం-163 వదదు, వదదు.
कि मैं इससे जयादा के लिए बना हूँ?	నేను దేనికెనా పనికొసతానా?
उसे लगता है मैं अचछा हूँ.	ఆమె నేను మంచి వాడిని అనుకుంటుంది.
अपमानजनक, कंजूस, आतमकेंदरित.	నోరు పారేసుకొనే, పొగరుబోతు లోభి వీడు.
पता है, किसी को एक बार बोलकर देख लो. मेरे खयाल से तुमहें बेहतर महसूस होगा.	అంటే, ఎవరితో అయినా ఆ మాట అను. నీకు ఉపశమనంగా అనిపిసతుంది.
मुडकर किसी बेचारे बंदे का कंधा थपथपाओ	ఒక పెగగు దించి నిలబడు మితరమా
कया तुम बॉनी या भी बदलाव का जिममेदार है, उससे कह सकते हो	దయచేసి ఈ సీనలు మారచే బాధయత ఉనన బాని, లేదా ఇంకెవరెనా సరే, వాళలకు ఈ ఎఫెకట లు
नहीं, सब ठीक है. मैं तुमहारे साथ हूँ.	ఏం పరలేదు. నేను నీతో ఉననాను.
-और कया तुम मेरा चेहरा छूना बंद करोगे? -जरूर.	-కాసత నా మొహం తాకడం ఆపుతావా? -సరే.
मेरी माँ ऐसी फैंसी जगहों की सफाई थी करती	మా అమమ ఇలాంటి ఆరభాటంతో ఉటటిపడే పరదేశాలను శుభరం చేసేది
तुमहें पोसट करनी चाहिए. हो सकता है उससे वोट मिल जाएँ.	నువవు అది పోసట చేయాలి. బాగా ఓటలు పడొచచు.
देखो, मैं बस इतना चाहता हूँ कि तुम मेरी और मेरे परिवार की निजता का सममान करो.	చూడు, నా కుటుంబ గోపయతకు గౌరవం ఇచచి ఇది ఆపమని అడుగుతుననాను.
-नहीं, बेटा, उसके बगीचे में जाओ! -हम नहीं चाहते वह पुलिस को बुलाए.	-వదదు, బుజజి, ఆమె పరాంతంలోకి వెళళకు! -ఆవిడ మళళీ పోలీసులకు ఫోన చేసతే తలనొపపి మొదలవుతుంది.
शुकरिया.	థాంకస.
सितंबर	సెపటెంబర
जहाँ से मीलों दूर तक नीला आसमान दिखता है	నీళలు ఆకాశానని తాకుతునన ఈ భవనం
कया यह मुझे देख सकती है?	ఈవిడ ననను చూడగలదా?
खैर, इसमें मिसटर बरिगस शामिल हैं.	అంటే, ఆ పని మిసటర బరిగస గారికి సంబంధించిందే.
शुकरिया.	థాంకస.
हो, हो, हो, हो! मेरी करिसमस.	హో, హో! మెరరీ కరిసమస.
-चुप रहो. -कया?	-నోరు మూసుకో. -ఏంటి?
जिस पर तुम जोर नहीं दोगे	కానీ నీ సథాయికి తగని ఈ ఎతతుగడలతో
सही कहा.	అవును.
शुकरिया.	థాంకస.
हे भगवान.	ఓరి, దేవుడా.
वह. . . यह मर गया.	అది. . . అతను చనిపోయాడు.
यही चाहता हूँ मैं.	నాకు కావాలసింది అదొకకటే.
हे भगवान.	ఓరి, దేవుడా.
मैं भूल गया था कि खुजली आने पर खुजलाना कैसा लगता है.	దురద గోకడం ఎలా ఉంటుందో నేను మరచిపోయాను.
शुकरिया.	థాంకస.
ओह, गजब. . .	ఓరి, దేవుడా. . .
हाँ. खुद को संभालो. अफसोस करना बंद करो.	అవును. కాసత నెమమదించు. తీసుకునన నిరణయాలకు చింతించకు.
-कहाँ? यहाँ? -हाँ.	-ఎకకడా? ఇకకడేనా? -అవును.
शुकरिया.	థాంకస.
और फिर हर साल मैं रुक जाता था.	కానీ పరతీ ఏడాది, అదే పని చేసతూ ఉండిపోయా.
परसताव पास हो गया.	పరతిపాదనను ఆమోదిసతుననాం.
-ठीक यहीं. उमर. . . 93. बुरा नहीं है. -मुझे मिल गया.	-ఇకకడే. ఇది. . . 93. పరలేదు. -దొరికాడు.
सवा चार.	4: 15.
नहीं, मुझे उसका नंबर नहीं मालूम. जैसे मुझे किसी का भी नंबर मालूम है.	లేదు, నాకు దాని నంబర తెలీదు. నాకు ఎవరి నంబర తెలీదు.
मैं उसे लेकर आता हूँ.	నేను వెళలి తనని తీసుకొసతాను.
तुम कहना चाहोगे	నువవు ఈ మాట అనగలగాలి
मुझे तुम पर बहुत गरव है.	నినను చూసతుంటే చాలా గరవంగా ఉంది.
शुकरिया.	థాంకస.
गुड आफटरनून!	ఇక ఉంటాం!
कयोंकि उससे शायद ही कुछ होगा सौ परतिशत मेहनत नहीं की अगर	99 శాతం కషటపడినా శాశవత మారపును తీసుకురాలేం
पलीज, हमें अतीत के करिसमस की 163वीं समृति में जाने की जरूरत है.	పలీజ, మేము మళళీ గత కరిసమస జఞాపకం 163కి వెళళాలి.
यह कितना दुखद है. देखो तुमने इसे कया करने पर मजबूर कर दिया.	చాలా బాధగా ఉంది. నువవు తనను ఎలా చేసావో చూడు.
और किमबरली सबसे अचछी है. यह बेहद करूर है.	ఆ పనిలో కిమబెరలి బెసట. ఆమెను మించిన వారు ఇంకెవవరూ లేరు.
-मैं तुमसे बहुत जयादा पयार करता हूँ, यार. -शुकरिया. . .	-నేను నినను ఎంతో పరేమిసతుననా. -థాంకస. . .
कयोंकि हम छिछले पानी में गोते लगा रहे हैं	ఎందుకంటే మనం జీవితంలో ఎలాంటి సాహసం లేకుండా బరతుకుతుననాం
और सबसे जरूरी, वह हर चीज में शामिल है.	అంతకంటే ముఖయంగా, వాడు అనని విషయాలలో తలదూరచి ఉననాడు.
मैं यहाँ एक परॉजेकट के सिलसिले में आया हूँ.	నేను ఒక పరాజెకటు పని మీద వచచాను.
यह सहायक भूतों का हमारा समरपित सटाफ है.	వీరు మా నమమకమెన సహకార భూతాలు.
इस जिंदगी के लिए एक और अवसर पा सकता हूँ जिसके मैं सपने देखता आ रहा हूँ	నేను కలలు కనన జీవితానని దకకించుకోవడానికి మరొక అవకాశం
शुकरिया, मारटी. हमेशा खुशी होती है.	థాంకస, మారటి. చాలా సంతోషం.
तुमसे मिलने तीन भूत आएँगे.	నినను ముగగురు భూతాలు వచచి కలుసతారు.
