मैमी?	మామీ?
पूरी तरह से.	అది ముగిసిపోయింది.
उस कमीने की वजह से, इवा.	ఆ చెతతవెధవ, ఈవా.
जवान महसूस करती हूँ.	నా వయససు తగగినటలు అనిపిసతుంది.
हाँ.	అవును.
हाँ!	అవును!
उठाओ, उठाओ. चलो, चलो. उठाओ. डॉनल. चलो! उठाओ!	ఫోన తీసుకో, తీసుకో. తవరగా, తవరగా. ఫోన ఎతతు. డోనల. తవరగా! ఫోన తీయి!
हाँ.	అవును.
हाँ.	అవును.
वह मर गया.	వాడు చనిపోయాడు.
कया हुआ?	ఏం జరిగింది?
पर वह बस चला गया. वह तुमहें छोडकर यूँ ही चला गया.	కానీ అతను నినను కాదనుకుని వెళలిపోయాడు. నా ఉదదేశం అతను నినను విడిచిపెటటాడు.
हाँ, दुनिया का सबसे बुरा सुपरहीरो. पर, दरअसल. . .	అవును, పరపంచంలో అతిచెతత సూపర హీరోని. ఏది ఏమెనా, వాసతవంగా, మీకు తెలుసు. . .
बस सवाल पूछते रहो, देखो कया जवाब मिलते हैं.	ఊరికే మనం చెటలని కుదుపుతుననాము, ఎలాంటి యాపిల పండలు పడతాయో చూదదాం.
पूरी जिंदगी. मुझे सच में खुशी है.	నీ జీవితం అంతా. నువవు చేశావంటే నాకు సంతోషంగా ఉంది.
नहीं, नहीं, नहीं. यह बेरुखी है.	లేదు, లేదు. లేదు. నువవు నీరసంగా మాటలాడుతుననావు.
और तुम यह कैसे करोगी?	అది ఎలా చేయాలని పథకం వేసతుననారు?
मॉली! मैं तुमहें कान के ऊपर छिदवाने दूँगी.	మోలీ! నీ చెవి పె భాగంలో నువవు కుటటించుకోడానికి నేను ఒపపుకుంటాను.
-कॉफी बनाओ. -हाँ.	-వేడి నీళలు పెటటు. -అలాగే.
जॉरज और मेरे रिशते की शुरुआत भी ऐसे ही हुई थी.	నేను, జారజ అలాగే మొదలుపెటటాము.
शराब पीने वाली मममियाँ.	తాగుబోతు అమమలు.
डेथ कैप जहर के पहले लकषण हैं उलटी और दसत.	డెత కయాప విషం వలల మొదటి లకషణాలు ఏమిటంటే వాంతులు ఇంకా విరోచనాలు.
वह काम पर है.	తను ఆఫీసుకి వెళలాడు.
बढिया है. यह बढिया है.	గొపపగా చేశావు. చాలా గొపపగా చేశావు.
माफ करना, मैं बस टहल रहा था. मुझे ऐंठन है.	కషమించండి. నేను ఊరికే అలా కాలు ఆడిసతుననాను. నాకు కండరం పటటేసింది.
कया यह लाइबरेरी की किताबें हैं?	ఇవి లెబరరీ పుసతకాలా?
अब कहाँ जाओगे? बियर पियोगे?	ఇపపుడు ఎకకడికి వెళతుననావు? బీరు తాగడానికా?
मुझे इसका मतलब भी नहीं पता.	అది ఏమిటో నాకు కనీసం తెలియను కూడా తెలియదు.
अब? अब मैं चौकनना रहता हूँ.	ఇపపుడా? ఇపపుడు నా జాగరతతలో నేను ఉంటుననాను.
मैंने पैसे खो दिए.	నా డబబు అంతా పోగొటటుకుననాను.
-नहीं. नहीं. -मैं बस. . .	-వదదు. వదదు. -నేను ఊరికే ఇసతుననాను. . .
मैं एक कपडा ले आती हूँ.	నేను ఏదెనా తుడిచే గుడడ తీసుకువసతాను.
वह असपताल जाएगा, और वे परीकषण करेंगे,	అతను ఎమరజెనసీ వారడుకి వెళతాడు, అకకడ వాళలు పరీకషలు చేసతారు,
और मेरा रोलेकस	నా రోలెకస గడియారం కూడా
तुम पागल हो?	మీకు పిచచి పటటిందా?
तुम कितनी पयारी हो.	చాలా సంతోషం.
कॉफी चढा दो.	కెటిల ఆన చేసి ఉంచు.
यह सुनकर ही भददा लग रहा है.	అది ఘోరమెన దృశయం.
यह 12 यूरो का था.	అది పననెండు యూరోలు ఉంటుంది.
अगर हम परयापत निकालें,	మనం గనుక తగినంత విషానని తీయగలిగితే,
-अब हम चलते हैं. -बढिया है.	-మేము ఇంక మిమమలని విడిచిపెడతాము. -మంచి పని.
हाँ, पर तुम. . . वह. . . वह नैतिक है. वह. . .	అవును, కానీ నువవు. . . సరే, తను. . . తనకి నెతిక విలువలు ఉననాయి. తను. . .
तुमने कोशिश नहीं की.	నువవు సరిగగా పరయతనించినటలు లేదు.
भगवान, मैं सोच भी नहीं सकती.	నా ఉదదేశం, దేవుడా, ఆ ఆలోచన వసతేనే తటటుకోలేము.
गलत मत समझना, पर मुझे बस उससे सेकस चाहिए.	నీకు దిగభరాంతి కలిగించను, కానీ కేవలం సెకస కోసం అతనిని కలుసతుననాను.
और सटीरियो सिसटम और वाइड-सकरीन टीवी भी.	ఇంకా సటీరియో సిసటమ ఇంకా వెడ సకరీన టీవీ ఆ కయాబిన లో దగధం అయయాయి.
यह बहुत दुखद घटना थी.	ఇది దారుణమెన వయాపారం, మీకు తెలుసు.
कार दुरघटना के लिए दावा किया था.	నాలుగు నెలల కిందట మారకర హోటల దగగర జరిగిందని చెపపారు.
कैबिन कब ठीक होगा, जेपी?	ఆ కయాబిన పని ఎపపటికి పూరతవుతుంది, జెపి?
मैं हमेशा यही सोचती हूँ.	ఆ జోక ఎపపుడు చెపపాలా అని ఎదురుచూసతుననా.
-हाँ, पर शोर मचाने वाली मममियाँ. -शोर मचाने वाली मममियाँ?	-అవును, కానీ గోల అమమలు. -గోల అమమలా?
शायद इससे तुमहारा कोई वासता नहीं है.	అది బహుశా మీకు అనవసరం.
यह योनि तुमहारी है	ఈ యోని నీది
केवल एक नरस को ही यह करना	అది ఎలా చేయాలో తెలిసిన వాళలు ఎవరెనా ఉంటే,
अंदर आओ. बैठो.	లోపలికి రండి. కూరచోండి.
तुम और मैं जेल पहुँच जाएँगे.	మీరు మిమమలని, ననను కూడా జెలుపాలు చేయబోతుననారు.
पता है. पता है.	నాకు తెలుసు. నాకు తెలుసు.
धत.	చెతత.
मुझे घर तक छोड दो.	నేను వెళలే చోటు దగగర దిగబెటటు.
कमीनी.	చౌకబారుది.
मुझे हरी फलियाँ दोगे?	అకకడ ఉనన ఆకుపచచ బీనస ఇలా అందిసతావా?
वह कहते. . .	ఆయన ఇలా అనేవాడు. . .
जरूर. बस. . . बस दो मिनट. दो मिनट दो.	తపపకుండా. రెండు. . . రెండు నిమిషాలు. నాకు రెండు నిమిషాలు ఇవవు.
बेहतर होगा वे मेरी तलाशी न लें.	వాళలు అటువంటి చెతత పనులు నా విషయంలో చేయకపోతే మంచిది.
कुछ पीना चाहोगे?	తాగడానికి ఏదెనా తీసుకురానా?
-बस पानी, कृप. . . -कॉफी बढिया होगी.	-కొదదిగా మంచి నీళలు చాలు, దయచేసి. . . -కాఫీ అయితే బాగుంటుంది.
हाँ. मुझे दो मिनट दो. मैं अभी आई.	అవును. నాకు రెండు నిమిషాల సమయం ఇవవండి. మీ దగగరకి వసతాను.
पता नहीं कयों.	ఎందుకు పంపేవాడో తెలియదు.
ए, जान.	హేయ, బంగారం.
ए, जान.	హేయ, బంగారం.
हाँ. हम कॉनसरट में थे, इसलिए. . .	అవును. అంటే, అపపుడు మేము ఒక కంసరట కి వెళలాము, కాబటటి. . .
उठाओ. उठाओ.	ఫోన తీయి. ఫోన తీయి.
ठीक है.	సరే.
ठीक है.	సరే.
इससे दिल का घातक दौरा पडेगा.	అది పరాణాంతకమెన కారడియాక ఎరహితమియాని కలిగిసతుంది.
हाँ, उममीद तो है.	అవును, నేను అదే అనుకుంటుననాను.
-नहीं. -नहीं.	-నేను కోలపోలేదు. -లేదు.
पिन डालें	పిన నమోదు చేయండి
अरे, धत तेरी की.	ఓహ, చెతత.
-हम कयों चले आए? -उठाओ.	-మనం ఎందుకు వచచేయాలసి వచచింది? -ఫోన తీయి.
ए. तुम ठीक हो?	హేయ. నువవు బాగానే ఉననావా?
हम बस खुशकिसमत हैं कि वह अंदर नहीं था.	మేం చేసిన మంచి పనులు మమమలని కాపాడాయి అందుకే అపపుడు అతను అందులో లేడు.
मुझे लगता है कि वे बीमा वाले तब तक नहीं रुकेंगे	ఆ బీమా వెధవలు తమకు కావలసిన
हम एक बडा, खुशहाल परिवार हैं.	మేము ఒక పెదద, సంతోషంగా ఉండే కుటుంబం అని అందరూ అంటారు.
हाँ. वह भी नाइल से.	అది పెదదదే. పెగా నయల నుండి వచచింది.
मैं कैसी हूँ?	నేను ఎలాంటి దానిని అంటే?
तुम शरमनाक हो.	అవమానకరం. నీ పరిసథితి అది.
सब भूल गई. माफ कर दो.	. . . అదంతా మరచిపోయాను. ననను కషమించండి.
भगवान के लिए.	దేవుడా.
धत. देखो, आमतौर पर मैं सामानय इंसान की तरह	చెతత. చూడండి, నేను ఒక మామూలు మనిషిలాగే మిమమలని మీ కరెమ ఘటటం దగగర వదిలేసే వాడిని
वह और जेपी सहकरमी हैं,	సరే, తను ఇంకా జెపి వృతతిపరంగా సహ ఉదయోగులు,
पता है कया?	మీకు ఒక విషయం తెలుసా?
हम सब के लिए, बस सावधानी की खातिर.	ఏదెనా జరగరానిది జరిగితే జాగరతత కోసం, మన అందరికీ కాపీలు తీయించాలి.
और घिनौनी हो.	ఇంకా అసహయంగా వయవహరిసతావు.
मुझे आज सोना चाहिए था, समझे?	ఈ రోజు నిజానికి నేను పడుకోవాలి, కానీ పడుకోలేదు, తెలుసా?
ए.	హేయ.
अरस. आओ.	ఉరస. లోపలికి రా.
ए.	హేయ.
ए.	హేయ.
हाँ.	వసతుననా.
हाँ! हँ?	నాకు తెలుసు! హు?
मैं कया. . .	నేను ఏం అడుగుతుననానా. . .
दरअसल, हाँ.	అవును, నిజానికి చేయాలి.
बाकी जगहों में गरमी बरकरार रहेगी.	మిగతా చోటల పరధానంగా వాతావరణం పొడిగా ఉండి, అకకడకకడ ఉషణోగరతలు పెరుగుతాయి.
हैलो.	హలో, బుజజీ.
हाँ.	అది నాదే.
हम चलते हैं.	మేము ఇంక సెలవు తీసుకుంటాము.
और शाम को मंसटर और उततरी लेनसटर तक.	తరువాత సాయంతరానికలలా మున సటర, ఇంకా నారత లీన సటర లో కొదది పరాంతాలను చేరుకుంటాయి.
बाद में मिलेंगे.	ఉంటాను.
मैं सो गई थी.	నేను నిదరలోకి జారిపోయి ఉంటాను.
तुमहारे जीजाजी के साथ?	మీ బావతో?
यह साफ करो.	సరే, ఈ చెతత అంతా శుభరం చేసేయ.
शाबाश.	బాగా ఆడావు, బాబు.
मुझे भी.	నేను కూడా నినను పరేమిసతాను.
और अब?	మరి ఇపపుడు సంగతి ఏంటి?
